link,Correlation
"=HYPERLINK(""https://stackoverflow.com/q/12270740"", ""12270740"")",0.18518518518518517
"=HYPERLINK(""https://stackoverflow.com/q/17958629"", ""17958629"")",0.10694444444444443
"=HYPERLINK(""https://stackoverflow.com/q/21122367"", ""21122367"")",0.1496913580246913
"=HYPERLINK(""https://stackoverflow.com/q/21896490"", ""21896490"")",0.07986111111111113
"=HYPERLINK(""https://stackoverflow.com/q/22986371"", ""22986371"")",0.14009661835748793
"=HYPERLINK(""https://stackoverflow.com/q/26779046"", ""26779046"")",0.12449799196787148
"=HYPERLINK(""https://stackoverflow.com/q/30025388"", ""30025388"")",0.10606060606060606
"=HYPERLINK(""https://stackoverflow.com/q/31335575"", ""31335575"")",0.1066066066066066
"=HYPERLINK(""https://stackoverflow.com/q/31725790"", ""31725790"")",0.11794871794871793
"=HYPERLINK(""https://stackoverflow.com/q/33086501"", ""33086501"")",0.3140432098765431
"=HYPERLINK(""https://stackoverflow.com/q/33879085"", ""33879085"")",0.15978835978835976
"=HYPERLINK(""https://stackoverflow.com/q/34971515"", ""34971515"")",0.08450704225352114
"=HYPERLINK(""https://stackoverflow.com/q/38112943"", ""38112943"")",0.13520749665327975
"=HYPERLINK(""https://stackoverflow.com/q/38376454"", ""38376454"")",0.11835748792270528
"=HYPERLINK(""https://stackoverflow.com/q/38733792"", ""38733792"")",0.23676012461059193
"=HYPERLINK(""https://stackoverflow.com/q/39471301"", ""39471301"")",0.1714677640603566
"=HYPERLINK(""https://stackoverflow.com/q/41174301"", ""41174301"")",0.10052910052910055
"=HYPERLINK(""https://stackoverflow.com/q/41233968"", ""41233968"")",0.16122004357298472
"=HYPERLINK(""https://stackoverflow.com/q/41277345"", ""41277345"")",0.09292929292929296
"=HYPERLINK(""https://stackoverflow.com/q/41905258"", ""41905258"")",0.16898148148148145
"=HYPERLINK(""https://stackoverflow.com/q/41980071"", ""41980071"")",0.1721132897603486
"=HYPERLINK(""https://stackoverflow.com/q/42170805"", ""42170805"")",0.1445639187574671
"=HYPERLINK(""https://stackoverflow.com/q/42530654"", ""42530654"")",0.17322291235334714
"=HYPERLINK(""https://stackoverflow.com/q/42623994"", ""42623994"")",0.1137254901960784
"=HYPERLINK(""https://stackoverflow.com/q/42996482"", ""42996482"")",0.15555555555555553
"=HYPERLINK(""https://stackoverflow.com/q/43008145"", ""43008145"")",0.26805555555555555
"=HYPERLINK(""https://stackoverflow.com/q/43201890"", ""43201890"")",0.1298904538341158
"=HYPERLINK(""https://stackoverflow.com/q/43212275"", ""43212275"")",0.2388888888888889
"=HYPERLINK(""https://stackoverflow.com/q/43667724"", ""43667724"")",0.1531823085221143
"=HYPERLINK(""https://stackoverflow.com/q/44418891"", ""44418891"")",0.10549943883277216
"=HYPERLINK(""https://stackoverflow.com/q/44497664"", ""44497664"")",0.25116713352007464
"=HYPERLINK(""https://stackoverflow.com/q/45224565"", ""45224565"")",0.12804232804232807
"=HYPERLINK(""https://stackoverflow.com/q/45545220"", ""45545220"")",0.21613394216133935
"=HYPERLINK(""https://stackoverflow.com/q/45709701"", ""45709701"")",0.20669056152927118
"=HYPERLINK(""https://stackoverflow.com/q/45722513"", ""45722513"")",0.19407407407407404
"=HYPERLINK(""https://stackoverflow.com/q/45723760"", ""45723760"")",0.2098765432098765
"=HYPERLINK(""https://stackoverflow.com/q/45827341"", ""45827341"")",0.1340579710144927
"=HYPERLINK(""https://stackoverflow.com/q/45909358"", ""45909358"")",0.16512345679012344
"=HYPERLINK(""https://stackoverflow.com/q/45941854"", ""45941854"")",0.17301587301587298
"=HYPERLINK(""https://stackoverflow.com/q/46227182"", ""46227182"")",0.10196078431372546
"=HYPERLINK(""https://stackoverflow.com/q/46378576"", ""46378576"")",0.1410736579275905
"=HYPERLINK(""https://stackoverflow.com/q/46537440"", ""46537440"")",0.13663663663663664
"=HYPERLINK(""https://stackoverflow.com/q/46779664"", ""46779664"")",0.11372549019607842
