link,Correlation
"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",0.6107948555766393
"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",0.37810136777357256
"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",0.7325432472897162
"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",0.3146809392148407
"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",0.663200633788869
"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",0.7585990625206311
"=HYPERLINK(""https://stackoverflow.com/q/11248169"", ""11248169"")",0.2740498668603244
"=HYPERLINK(""https://stackoverflow.com/q/11306027"", ""11306027"")",0.5187269110542768
"=HYPERLINK(""https://stackoverflow.com/q/12729100"", ""12729100"")",0.3258017225581821
"=HYPERLINK(""https://stackoverflow.com/q/13767870"", ""13767870"")",0.38844952439595387
"=HYPERLINK(""https://stackoverflow.com/q/14487518"", ""14487518"")",0.4566013071895424
"=HYPERLINK(""https://stackoverflow.com/q/14907056"", ""14907056"")",0.5089138636484405
"=HYPERLINK(""https://stackoverflow.com/q/15580847"", ""15580847"")",0.3914021457639659
"=HYPERLINK(""https://stackoverflow.com/q/16942433"", ""16942433"")",0.39980713596914186
"=HYPERLINK(""https://stackoverflow.com/q/17758355"", ""17758355"")",0.4903163719475519
"=HYPERLINK(""https://stackoverflow.com/q/17934697"", ""17934697"")",0.5888235294117646
"=HYPERLINK(""https://stackoverflow.com/q/18933749"", ""18933749"")",0.7510832048175076
"=HYPERLINK(""https://stackoverflow.com/q/19796320"", ""19796320"")",0.6185896112831096
"=HYPERLINK(""https://stackoverflow.com/q/19802076"", ""19802076"")",0.6981800576571817
"=HYPERLINK(""https://stackoverflow.com/q/20738551"", ""20738551"")",0.4627338775281213
"=HYPERLINK(""https://stackoverflow.com/q/21422363"", ""21422363"")",0.5280379667790682
"=HYPERLINK(""https://stackoverflow.com/q/22562925"", ""22562925"")",0.44364737765024714
"=HYPERLINK(""https://stackoverflow.com/q/23813639"", ""23813639"")",0.40869433044535636
"=HYPERLINK(""https://stackoverflow.com/q/24808967"", ""24808967"")",0.9313496319518924
"=HYPERLINK(""https://stackoverflow.com/q/24821180"", ""24821180"")",0.5227635430450299
"=HYPERLINK(""https://stackoverflow.com/q/25950980"", ""25950980"")",0.5546340940747885
"=HYPERLINK(""https://stackoverflow.com/q/26642065"", ""26642065"")",0.3013763447569427
"=HYPERLINK(""https://stackoverflow.com/q/27223147"", ""27223147"")",0.5090704429920115
